igpu_frac,backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
0,hybrid,8192,8192,300,1,256,0,0,670.256434,670.319366,30037.2487,30034.42869
0,hybrid,8192,8192,300,1,256,0,0,672.058549,672.140905,29956.70426,29953.03373
0,hybrid,8192,8192,300,1,256,0,0,666.591394,666.718017,30202.39892,30196.66289
0,hybrid,8192,8192,300,1,256,0,0,661.626692,661.747952,30429.03112,30423.45524
0,hybrid,8192,8192,300,1,256,0,0,693.589593,693.699647,29026.76079,29022.15575
0.03,hybrid,8192,8192,300,1,256,0,0,690.550658,690.737766,29154.50006,29146.60265
0.03,hybrid,8192,8192,300,1,256,0,0,686.300702,686.486017,29335.04095,29327.12204
0.03,hybrid,8192,8192,300,1,256,0,0,676.620428,676.782281,29754.73156,29747.61569
0.03,hybrid,8192,8192,300,1,256,0,0,704.706032,704.853451,28568.87594,28562.9008
0.03,hybrid,8192,8192,300,1,256,0,0,687.845874,688.044084,29269.14293,29260.71115
0.04,hybrid,8192,8192,300,1,256,0,0,668.592186,668.751918,30112.01689,30104.82461
0.04,hybrid,8192,8192,300,1,256,0,0,729.165013,729.374847,27610.56666,27602.62337
0.04,hybrid,8192,8192,300,1,256,0,0,729.394771,729.731147,27601.86939,27589.14606
0.04,hybrid,8192,8192,300,1,256,0,0,719.572222,719.761405,27978.64979,27971.29585
0.04,hybrid,8192,8192,300,1,256,0,0,678.03044,678.220691,29692.8545,29684.52521
0.05,hybrid,8192,8192,300,1,256,0,0,657.480258,657.642268,30620.93341,30613.38995
0.05,hybrid,8192,8192,300,1,256,0,0,681.682511,681.879655,29533.77691,29525.23814
0.05,hybrid,8192,8192,300,1,256,0,0,696.908522,697.060545,28888.52491,28882.22457
0.05,hybrid,8192,8192,300,1,256,0,0,773.624599,773.905494,26023.80951,26014.36397
0.05,hybrid,8192,8192,300,1,256,0,0,710.480185,710.80973,28336.69344,28323.55601
0.06,hybrid,8192,8192,300,1,256,0,0,683.137847,683.314878,29470.85905,29463.22383
