backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cuda,256,256,500,1,32,0,0,3.953663996,7.075943,8288.008296,4630.902199
cuda,256,256,500,1,32,0,0,3.976960007,7.574749,8239.459271,4325.951923
cuda,256,256,500,1,32,0,0,3.783648,6.836393,8660.425071,4793.170902
cuda,256,256,500,1,32,0,0,3.794687995,6.905108,8635.229047,4745.472482
cuda,256,256,500,1,32,0,0,3.850175995,6.857495,8510.779778,4778.421275
cuda,256,256,500,1,32,1,0,6.315904081,9.428772,5188.172521,3475.32001
cuda,256,256,500,1,32,1,0,6.380704094,9.504641,5135.483407,3447.578925
cuda,256,256,500,1,32,1,0,6.312640091,9.35691,5190.855098,3502.010813
cuda,256,256,500,1,32,1,0,6.29590406,9.312006,5204.653643,3518.898076
cuda,256,256,500,1,32,1,0,6.303264094,9.292927,5198.576406,3526.122609
cuda,256,256,500,1,64,0,0,2.737632009,5.709307,11969.46846,5739.400596
cuda,256,256,500,1,64,0,0,2.740160013,5.833429,11958.42573,5617.279305
cuda,256,256,500,1,64,0,0,2.74390401,5.700918,11942.10872,5747.846224
cuda,256,256,500,1,64,0,0,2.732544005,5.747775,11991.75565,5700.988643
cuda,256,256,500,1,64,0,0,2.725792009,5.673104,12021.46014,5776.026669
cuda,256,256,500,1,64,1,0,4.129888009,7.577416,7934.355587,4324.429331
cuda,256,256,500,1,64,1,0,3.812576005,6.77734,8594.713904,4834.93524
cuda,256,256,500,1,64,1,0,3.832320009,6.80789,8550.434181,4813.238757
cuda,256,256,500,1,64,1,0,3.827744001,6.823487,8560.656093,4802.236745
cuda,256,256,500,1,64,1,0,3.819008013,6.791174,8580.238609,4825.086207
cuda,256,256,500,1,128,0,0,2.689920002,5.708009,12181.77492,5740.705735
cuda,256,256,500,1,128,0,0,2.668287997,5.6746,12280.53345,5774.50393
cuda,256,256,500,1,128,0,0,2.690015996,5.713342,12181.3402,5735.347193
cuda,256,256,500,1,128,0,0,2.770304007,5.749496,11828.30474,5699.282163
cuda,256,256,500,1,128,0,0,2.673887996,5.772654,12254.81398,5676.418507
cuda,256,256,500,1,128,1,0,3.548864021,6.683558,9233.377161,4902.777832
cuda,256,256,500,1,128,1,0,3.701088018,6.77708,8853.612733,4835.12073
cuda,256,256,500,1,128,1,0,3.531776031,6.542016,9278.051529,5008.85354
cuda,256,256,500,1,128,1,0,3.538112021,6.531521,9261.436553,5016.901882
cuda,256,256,500,1,128,1,0,3.669824025,6.943995,8929.038499,4718.897407
cuda,256,256,500,1,256,0,0,2.725056011,5.791381,12024.70697,5658.06325
cuda,256,256,500,1,256,0,0,2.72569601,5.692581,12021.88354,5756.264162
cuda,256,256,500,1,256,0,0,2.742784006,5.657526,11946.98523,5791.930961
cuda,256,256,500,1,256,0,0,2.939936007,6.204841,11145.82083,5281.037822
cuda,256,256,500,1,256,0,0,2.745792003,5.774944,11933.89738,5674.167576
cuda,256,256,500,1,256,1,0,3.608256021,6.590534,9081.395502,4971.979509
cuda,256,256,500,1,256,1,0,3.843552024,7.465373,8525.447242,4389.33192
cuda,256,256,500,1,256,1,0,3.553856011,6.511701,9220.407326,5032.172085
cuda,256,256,500,1,256,1,0,3.543296013,6.497769,9247.886681,5042.961669
cuda,256,256,500,1,256,1,0,3.592864017,6.561176,9120.300642,4994.226645
cuda,256,256,500,1,512,0,0,2.951488012,6.160351,11102.19654,5319.17743
cuda,256,256,500,1,512,0,0,2.904128019,5.932528,11283.24915,5523.446328
cuda,256,256,500,1,512,0,0,2.888192018,5.988308,11345.50605,5471.99643
cuda,256,256,500,1,512,0,0,2.880384017,5.899499,11376.26087,5554.369956
cuda,256,256,500,1,512,0,0,2.908704021,5.933744,11265.49823,5522.314411
cuda,256,256,500,1,512,1,0,3.798432001,6.847467,8626.717548,4785.419192
cuda,256,256,500,1,512,1,0,3.779360005,6.812023,8670.251036,4810.318462
cuda,256,256,500,1,512,1,0,3.765503996,6.726669,8702.155152,4871.35609
cuda,256,256,500,1,512,1,0,3.776768011,6.790182,8676.201425,4825.79112
cuda,256,256,500,1,512,1,0,3.88031999,6.845965,8444.664379,4786.46911
opencl,256,256,500,1,32,0,0,3.681376,9.58172,8901.019619,3419.845289
opencl,256,256,500,1,32,0,0,3.602176,8.823439,9096.723758,3713.74472
opencl,256,256,500,1,32,0,0,3.584256,8.832869,9142.204128,3709.779914
opencl,256,256,500,1,32,0,0,3.610816,8.846133,9074.957018,3704.217425
opencl,256,256,500,1,32,0,0,3.60576,8.861854,9087.681931,3697.646113
opencl,256,256,500,1,32,1,0,6.274176,11.548423,5222.677846,2837.443693
opencl,256,256,500,1,32,1,0,6.201792,11.512768,5283.63415,2846.231245
opencl,256,256,500,1,32,1,0,6.232064,11.608536,5257.969109,2822.750431
opencl,256,256,500,1,32,1,0,6.226016,11.562691,5263.076741,2833.942376
opencl,256,256,500,1,32,1,0,6.24112,11.460894,5250.339683,2859.113783
opencl,256,256,500,1,64,0,0,2.579424,7.793394,12703.61135,4204.586602
opencl,256,256,500,1,64,0,0,2.583232,7.802478,12684.88467,4199.691431
opencl,256,256,500,1,64,0,0,2.58384,7.927917,12681.89981,4133.242061
opencl,256,256,500,1,64,0,0,2.549056,7.782542,12854.95493,4210.449491
opencl,256,256,500,1,64,0,0,2.587776,7.785203,12662.61067,4209.01035
opencl,256,256,500,1,64,1,0,3.675232,9.129067,8915.899731,3589.413902
opencl,256,256,500,1,64,1,0,3.657952,8.891753,8958.018039,3685.212578
opencl,256,256,500,1,64,1,0,3.778528,9.22381,8672.160164,3552.54499
opencl,256,256,500,1,64,1,0,3.70128,9.086613,8853.153504,3606.184174
opencl,256,256,500,1,64,1,0,3.644704,8.860215,8990.579208,3698.33012
opencl,256,256,500,1,128,0,0,2.777056,8.438032,11799.54599,3883.369961
opencl,256,256,500,1,128,0,0,2.515392,7.718975,13026.99539,4245.123219
opencl,256,256,500,1,128,0,0,2.716448,8.504408,12062.81144,3853.060672
opencl,256,256,500,1,128,0,0,2.50976,7.695084,13056.22848,4258.303093
opencl,256,256,500,1,128,0,0,2.517088,7.752576,13018.21788,4226.724124
opencl,256,256,500,1,128,1,0,3.451872,8.636104,9492.820128,3794.303542
opencl,256,256,500,1,128,1,0,3.424736,8.637336,9568.036777,3793.762336
opencl,256,256,500,1,128,1,0,3.428544,8.613811,9557.409793,3804.123401
opencl,256,256,500,1,128,1,0,3.53408,8.873661,9272.002898,3692.726148
opencl,256,256,500,1,128,1,0,3.415008,8.611135,9595.29231,3805.305572
opencl,256,256,500,1,256,0,0,2.588192,7.761465,12660.57541,4221.883369
opencl,256,256,500,1,256,0,0,2.569408,7.863773,12753.13224,4166.956498
