backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cpu,64,64,2000,1,256,0,0,309.022106,309.23038,26.50943036,26.49157563
cpu,64,64,2000,1,256,0,0,301.047344,301.237231,27.21166675,27.19451368
cpu,64,64,2000,1,256,0,0,302.823994,303.028233,27.05201755,27.03378467
cpu,64,64,2000,1,256,0,0,298.280049,298.457476,27.46412315,27.44779628
cpu,64,64,2000,1,256,0,0,292.022112,292.193658,28.0526702,28.03620057
cpu,64,64,2000,2,256,0,0,152.914959,153.103476,53.57226038,53.50629662
cpu,64,64,2000,2,256,0,0,153.195437,153.403065,53.47417756,53.40180133
cpu,64,64,2000,2,256,0,0,151.348637,151.564474,54.126685,54.04960532
cpu,64,64,2000,2,256,0,0,151.951962,152.1363,53.91177509,53.84645216
cpu,64,64,2000,2,256,0,0,158.167615,158.356785,51.79315627,51.73128515
cpu,64,64,2000,4,256,0,0,99.852321,100.066196,82.04115756,81.86580811
cpu,64,64,2000,4,256,0,0,84.701234,84.905861,96.71641856,96.48332758
cpu,64,64,2000,4,256,0,0,81.77212,81.970275,100.180844,99.93866679
cpu,64,64,2000,4,256,0,0,85.441946,85.667146,95.87796608,95.62592409
cpu,64,64,2000,4,256,0,0,84.201323,84.412955,97.29063283,97.04671516
cpu,64,64,2000,6,256,0,0,106.312725,106.593891,77.05568642,76.85243425
cpu,64,64,2000,6,256,0,0,111.202969,111.490449,73.66709786,73.47714601
cpu,64,64,2000,6,256,0,0,109.458299,109.726763,74.84128727,74.65817615
cpu,64,64,2000,6,256,0,0,106.980789,107.245039,76.57449601,76.38581772
cpu,64,64,2000,6,256,0,0,117.117332,117.505309,69.94694859,69.71599896
cpu,64,64,2000,8,256,0,0,96.887708,97.201382,84.55148924,84.27863711
cpu,64,64,2000,8,256,0,0,98.232777,98.541036,83.39375359,83.13287877
cpu,64,64,2000,8,256,0,0,92.545699,92.855679,88.51843023,88.22292926
cpu,64,64,2000,8,256,0,0,99.152586,99.471581,82.62013459,82.35518042
cpu,64,64,2000,8,256,0,0,96.862549,97.193756,84.57345057,84.28524976
cpu,64,64,2000,10,256,0,0,85.132609,85.454372,96.2263473,95.86402437
cpu,64,64,2000,10,256,0,0,84.610646,84.970941,96.81996755,96.40943014
cpu,64,64,2000,10,256,0,0,84.145131,84.478666,97.35560338,96.97122822
cpu,64,64,2000,10,256,0,0,81.488873,81.830367,100.5290624,100.1095351
cpu,64,64,2000,10,256,0,0,85.878016,86.214091,95.39111849,95.01927011
cpu,64,64,2000,12,256,0,0,81.147934,81.484181,100.9514303,100.5348511
cpu,64,64,2000,12,256,0,0,83.24955,83.599788,98.40293431,97.99067912
cpu,64,64,2000,12,256,0,0,83.952421,84.296484,97.57907994,97.18080294
cpu,64,64,2000,12,256,0,0,86.259113,86.651043,94.96967584,94.54011996
cpu,64,64,2000,12,256,0,0,80.739529,81.081007,101.4620732,101.034759
cuda,64,64,2000,1,128,0,0,9.510975999,22.061761,861.3206469,371.3212196
cuda,64,64,2000,1,128,0,0,8.826687912,21.485394,928.0944429,381.2822795
cuda,64,64,2000,1,128,0,0,8.001568078,20.105218,1023.799325,407.4564126
cuda,64,64,2000,1,128,0,0,7.699488077,20.043286,1063.96684,408.7154172
cuda,64,64,2000,1,128,0,0,7.495936076,19.473072,1092.858839,420.6834956
opencl,64,64,2000,1,128,0,0,7.404192,28.077699,1106.400266,291.7618
opencl,64,64,2000,1,128,0,0,7.454176,28.355145,1098.981296,288.9070044
opencl,64,64,2000,1,128,0,0,7.431584,28.320094,1102.322197,289.2645766
opencl,64,64,2000,1,128,0,0,7.356416,28.101196,1113.585746,291.5178414
opencl,64,64,2000,1,128,0,0,7.675296,29.450834,1067.3204,278.1585065
cpu,128,128,1000,1,256,0,0,589.610577,589.742796,27.78783258,27.78160261
cpu,128,128,1000,1,256,0,0,579.99398,580.097894,28.24856906,28.24350884
cpu,128,128,1000,1,256,0,0,585.770918,585.877371,27.96997853,27.96489643
cpu,128,128,1000,1,256,0,0,594.054079,594.163769,27.57998064,27.57488904
cpu,128,128,1000,1,256,0,0,598.851127,599.02463,27.35905346,27.35112912
cpu,128,128,1000,2,256,0,0,299.36949,299.483138,54.72835592,54.70758758
cpu,128,128,1000,2,256,0,0,310.725981,310.861262,52.72813026,52.70518396
cpu,128,128,1000,2,256,0,0,307.70726,307.813769,53.24541254,53.22698869
cpu,128,128,1000,2,256,0,0,307.033525,307.152627,53.36225091,53.34155908
cpu,128,128,1000,2,256,0,0,299.873043,299.986928,54.63645493,54.61571312
cpu,128,128,1000,4,256,0,0,163.022098,163.142282,100.5017124,100.4276745
cpu,128,128,1000,4,256,0,0,174.845198,174.964867,93.70574764,93.64165664
cpu,128,128,1000,4,256,0,0,167.342136,167.468277,97.90720013,97.83345415
cpu,128,128,1000,4,256,0,0,165.295825,165.419322,99.11926088,99.04526147
cpu,128,128,1000,4,256,0,0,166.109484,166.235955,98.63374207,98.5587023
cpu,128,128,1000,6,256,0,0,201.745327,201.940855,81.21129864,81.13266629
cpu,128,128,1000,6,256,0,0,191.714303,191.911134,85.460499,85.37284762
cpu,128,128,1000,6,256,0,0,208.746533,208.96884,78.4875311,78.40403383
cpu,128,128,1000,6,256,0,0,154.595203,154.760435,105.9800025,105.8668516
cpu,128,128,1000,6,256,0,0,130.684644,130.8426,125.3705064,125.2191565
cpu,128,128,1000,8,256,0,0,186.559012,186.913998,87.82207745,87.65528626
cpu,128,128,1000,8,256,0,0,172.543143,172.74456,94.95596125,94.84524433
cpu,128,128,1000,8,256,0,0,172.824361,173.012721,94.8014499,94.69823898
cpu,128,128,1000,8,256,0,0,175.100592,175.301486,93.56907257,93.46184322
cpu,128,128,1000,8,256,0,0,173.59197,173.787408,94.38224591,94.27610544
cpu,128,128,1000,10,256,0,0,142.078457,142.291806,115.3165677,115.1436647
cpu,128,128,1000,10,256,0,0,143.989535,144.185122,113.786047,113.6316963
cpu,128,128,1000,10,256,0,0,133.905553,134.101149,122.3548959,122.1764327
cpu,128,128,1000,10,256,0,0,135.433296,135.606654,120.9746826,120.82003
cpu,128,128,1000,10,256,0,0,138.69749,138.887661,118.1275883,117.9658429
cpu,128,128,1000,12,256,0,0,126.092662,126.350147,129.9361893,129.6713964
cpu,128,128,1000,12,256,0,0,130.914768,131.141853,125.1501282,124.9334185
cpu,128,128,1000,12,256,0,0,119.81122,120.00367,136.7484615,136.5291578
cpu,128,128,1000,12,256,0,0,126.383233,126.575414,129.6374496,129.4406195
cpu,128,128,1000,12,256,0,0,121.565155,121.760918,134.7754626,134.5587753
cuda,128,128,1000,1,128,0,0,5.490208,11.92585,2984.222091,1373.822411
cuda,128,128,1000,1,128,0,0,4.627167983,10.807564,3540.826713,1515.975293
cuda,128,128,1000,1,128,0,0,4.317343969,10.160662,3794.925796,1612.493359
cuda,128,128,1000,1,128,0,0,4.207712076,10.23401,3893.802547,1600.936485
cuda,128,128,1000,1,128,0,0,4.075680018,9.949258,4019.942667,1646.755969
opencl,128,128,1000,1,128,0,0,3.955744,14.309808,4141.825153,1144.948975
opencl,128,128,1000,1,128,0,0,3.924928,14.298796,4174.34409,1145.83074
opencl,128,128,1000,1,128,0,0,3.90144,14.294652,4199.475066,1146.162915
opencl,128,128,1000,1,128,0,0,3.925696,14.282073,4173.527446,1147.172403
opencl,128,128,1000,1,128,0,0,3.951776,14.325748,4145.983983,1143.675011
cpu,256,256,500,1,256,0,0,1168.007167,1168.102099,28.05462237,28.05234237
cpu,256,256,500,1,256,0,0,1160.327127,1160.394558,28.24031192,28.23867087
cpu,256,256,500,1,256,0,0,1142.171548,1142.232014,28.68921053,28.68769182
cpu,256,256,500,1,256,0,0,1140.548814,1140.610807,28.73002856,28.72846706
cpu,256,256,500,1,256,0,0,1144.739353,1144.807483,28.62485675,28.62315323
cpu,256,256,500,2,256,0,0,591.941988,592.004085,55.35677594,55.35096941
cpu,256,256,500,2,256,0,0,586.280969,586.361762,55.89129058,55.88358949
cpu,256,256,500,2,256,0,0,600.300881,600.371486,54.5859602,54.57954077
cpu,256,256,500,2,256,0,0,604.327672,604.402187,54.22223988,54.21555498
cpu,256,256,500,2,256,0,0,583.111224,583.179196,56.19511107,56.18856129
cpu,256,256,500,4,256,0,0,308.50606,308.578243,106.2150935,106.1902475
cpu,256,256,500,4,256,0,0,310.837023,310.90524,105.4185878,105.3954575
cpu,256,256,500,4,256,0,0,310.437208,310.512971,105.5543574,105.5286029
cpu,256,256,500,4,256,0,0,307.346995,307.41628,106.6156511,106.5916223
cpu,256,256,500,4,256,0,0,307.478164,307.547592,106.5701693,106.5461114
cpu,256,256,500,6,256,0,0,261.493672,261.65303,125.3108718,125.234552
cpu,256,256,500,6,256,0,0,218.762051,218.845909,149.7883195,149.7309232
cpu,256,256,500,6,256,0,0,218.579538,218.64922,149.9133922,149.8656158
cpu,256,256,500,6,256,0,0,217.064856,217.145705,150.9594902,150.903284
cpu,256,256,500,6,256,0,0,242.390569,242.485979,135.1867778,135.1335864
cpu,256,256,500,8,256,0,0,339.218029,339.558241,96.59863922,96.5018546
cpu,256,256,500,8,256,0,0,335.335708,335.478001,97.71700185,97.67555518
cpu,256,256,500,8,256,0,0,339.710471,339.82289,96.45861049,96.42670039
cpu,256,256,500,8,256,0,0,346.093737,346.277082,94.67955209,94.62942165
cpu,256,256,500,8,256,0,0,339.546131,339.736214,96.50529636,96.45130148
cpu,256,256,500,10,256,0,0,268.865507,268.983086,121.8750608,121.8217862
cpu,256,256,500,10,256,0,0,267.546278,267.669938,122.4760077,122.4194254
cpu,256,256,500,10,256,0,0,266.289219,266.416193,123.0541744,122.9955268
cpu,256,256,500,10,256,0,0,266.339301,266.52792,123.0310355,122.9439677
cpu,256,256,500,10,256,0,0,257.388712,257.50156,127.3093903,127.253598
cpu,256,256,500,12,256,0,0,213.954113,214.061117,153.1543355,153.0777773
cpu,256,256,500,12,256,0,0,209.967116,210.080436,156.0625331,155.9783511
cpu,256,256,500,12,256,0,0,215.86157,215.993291,151.8009899,151.7084158
cpu,256,256,500,12,256,0,0,221.834206,222.031133,147.7139193,147.5829068
cpu,256,256,500,12,256,0,0,212.140339,212.241559,154.4637864,154.3901211
cuda,256,256,500,1,128,0,0,4.055360008,7.65721,8080.170426,4279.365461
cuda,256,256,500,1,128,0,0,2.889184006,5.868447,11341.61062,5583.760065
cuda,256,256,500,1,128,0,0,2.817728021,5.818693,11629.22743,5631.505219
cuda,256,256,500,1,128,0,0,2.703392001,5.652917,12121.06864,5796.653303
cuda,256,256,500,1,128,0,0,2.714880005,5.592562,12069.77838,5859.210859
opencl,256,256,500,1,128,0,0,2.480256,7.636194,13211.53945,4291.142944
opencl,256,256,500,1,128,0,0,2.529888,7.774672,12952.35204,4214.711566
opencl,256,256,500,1,128,0,0,2.513728,7.715361,13035.61881,4247.111704
opencl,256,256,500,1,128,0,0,2.522272,7.795008,12991.46167,4203.716019
opencl,256,256,500,1,128,0,0,2.519904,7.72188,13003.66998,4243.526188
cpu,512,512,200,1,256,0,0,1874.323569,1874.359988,27.97211798,27.97157448
cpu,512,512,200,1,256,0,0,1869.994413,1870.03358,28.03687521,28.03628799
cpu,512,512,200,1,256,0,0,1866.832356,1866.870119,28.08436431,28.08379622
cpu,512,512,200,2,256,0,0,969.002747,969.038741,54.10593537,54.10392566
cpu,512,512,200,2,256,0,0,971.391781,971.426596,53.97286762,53.97093328
cpu,512,512,200,2,256,0,0,974.837251,974.870264,53.78210562,53.78028435
cpu,512,512,200,2,256,0,0,974.338493,974.375494,53.80963636,53.80759299
cpu,512,512,200,2,256,0,0,968.314637,968.347783,54.14438448,54.14253114
cpu,512,512,200,4,256,0,0,510.510302,510.547577,102.698809,102.691311
cpu,512,512,200,4,256,0,0,511.129052,511.16546,102.5744864,102.5671805
cpu,512,512,200,4,256,0,0,501.487245,501.531326,104.5466271,104.5374382
cpu,512,512,200,4,256,0,0,509.893773,509.927545,102.8229854,102.8161756
cpu,512,512,200,4,256,0,0,501.776944,501.830722,104.4862675,104.4750704
cpu,512,512,200,6,256,0,0,350.158546,350.191337,149.728746,149.7147258
cpu,512,512,200,6,256,0,0,348.347386,348.393849,150.5072296,150.4871574
cpu,512,512,200,6,256,0,0,349.928502,349.960065,149.8271781,149.8136652
cpu,512,512,200,6,256,0,0,352.779771,352.842429,148.6162312,148.5898398
cpu,512,512,200,6,256,0,0,349.207861,349.243578,150.1363682,150.1210138
cpu,512,512,200,8,256,0,0,504.630005,504.974356,103.8955264,103.8246782
cpu,512,512,200,8,256,0,0,503.851497,504.009513,104.0560568,104.0234334
cpu,512,512,200,8,256,0,0,504.538538,504.687122,103.9143614,103.8837682
cpu,512,512,200,8,256,0,0,506.66022,506.793065,103.4792114,103.4520865
cpu,512,512,200,8,256,0,0,504.667907,504.773797,103.8877235,103.8659303
cpu,512,512,200,10,256,0,0,406.857223,406.951847,128.862896,128.8329329
cpu,512,512,200,10,256,0,0,406.688046,406.841845,128.9165013,128.8677668
cpu,512,512,200,10,256,0,0,406.675113,406.921776,128.920601,128.8424535
cpu,512,512,200,10,256,0,0,408.13274,408.24837,128.4601672,128.4237828
cpu,512,512,200,10,256,0,0,408.554961,408.659264,128.32741,128.2946567
cpu,512,512,200,12,256,0,0,343.633455,343.772011,152.5718734,152.5103799
cpu,512,512,200,12,256,0,0,341.470634,341.585345,153.5382395,153.4866784
cpu,512,512,200,12,256,0,0,337.002258,337.090347,155.5740318,155.5333769
cpu,512,512,200,12,256,0,0,344.211282,344.37469,152.3157512,152.2434764
cpu,512,512,200,12,256,0,0,334.349162,334.429735,156.8085282,156.7707489
cuda,512,512,200,1,128,0,0,2.906208008,4.254562,18040.27787,12322.96062
cuda,512,512,200,1,128,0,0,2.225247983,3.454516,23560.87969,15176.8873
cuda,512,512,200,1,128,0,0,2.216287985,3.454991,23656.13149,15174.80074
cuda,512,512,200,1,128,0,0,2.100159982,3.322068,24964.19342,15781.97677
cuda,512,512,200,1,128,0,0,2.038688004,3.265957,25716.93162,16053.12011
opencl,512,512,200,1,128,0,0,1.852864,3.936291,28296.08649,13319.34047
opencl,512,512,200,1,128,0,0,1.849344,3.930762,28349.94463,13338.07542
opencl,512,512,200,1,128,0,0,1.843008,3.930271,28447.40772,13339.74171
opencl,512,512,200,1,128,0,0,1.850688,3.942525,28329.35643,13298.27966
opencl,512,512,200,1,128,0,0,1.85808,3.944019,28216.65375,13293.24225
cpu,1024,1024,100,1,256,0,0,3811.506805,3811.541483,27.51079963,27.51054933
cpu,1024,1024,100,1,256,0,0,3799.579286,3799.617738,27.59716066,27.59688138
cpu,1024,1024,100,1,256,0,0,3815.807292,3815.838528,27.47979444,27.47956949
cpu,1024,1024,100,2,256,0,0,1955.437923,1955.471848,53.62358926,53.62265895
cpu,1024,1024,100,2,256,0,0,1941.001243,1941.033504,54.02242805,54.02153017
cpu,1024,1024,100,2,256,0,0,2002.797899,2002.852596,52.35555722,52.35412741
cpu,1024,1024,100,4,256,0,0,1051.852782,1051.888242,99.68847523,99.68511465
cpu,1024,1024,100,4,256,0,0,1070.712277,1070.758916,97.93256531,97.92829967
cpu,1024,1024,100,4,256,0,0,1061.970121,1062.000036,98.73874785,98.73596652
