backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cpu,64,64,2000,1,256,0,0,293.563018,293.766974,27.90542234,27.88604821
cpu,64,64,2000,1,256,0,0,317.742866,317.914991,25.78185343,25.76789466
cpu,64,64,2000,1,256,0,0,310.111551,310.29398,26.41630076,26.40077001
cpu,64,64,2000,1,256,0,0,279.852989,280.022263,29.27251208,29.25481679
cpu,64,64,2000,1,256,0,0,274.343443,274.496034,29.86038197,29.84378273
cpu,64,64,2000,2,256,0,0,158.955203,159.149703,51.53653259,51.47354878
cpu,64,64,2000,2,256,0,0,146.586567,146.753419,55.88506619,55.8215274
cpu,64,64,2000,2,256,0,0,146.801124,146.977446,55.80338745,55.73644272
cpu,64,64,2000,2,256,0,0,148.707854,148.882026,55.0878772,55.02343177
cpu,64,64,2000,2,256,0,0,151.050997,151.219873,54.23333949,54.17277397
cpu,64,64,2000,4,256,0,0,85.178587,85.39658,96.1744059,95.9289002
cpu,64,64,2000,4,256,0,0,81.679883,81.910798,100.2939732,100.0112342
cpu,64,64,2000,4,256,0,0,81.585096,81.785025,100.4104965,100.1650363
cpu,64,64,2000,4,256,0,0,85.580107,85.783719,95.72318015,95.49597634
cpu,64,64,2000,4,256,0,0,84.814075,85.0238,96.58774207,96.34949273
cpu,64,64,2000,6,256,0,0,83.547705,83.813169,98.05176575,97.74120341
cpu,64,64,2000,6,256,0,0,67.386216,67.623304,121.5678886,121.1416703
cpu,64,64,2000,6,256,0,0,82.07045,82.340566,99.81668189,99.48923596
cpu,64,64,2000,6,256,0,0,66.190717,66.420764,123.7635785,123.3349258
cpu,64,64,2000,6,256,0,0,88.263742,88.50476,92.81274297,92.55999338
cpu,64,64,2000,8,256,0,0,92.413233,92.691915,88.64531338,88.37879765
cpu,64,64,2000,8,256,0,0,92.284246,92.548072,88.7692142,88.51616055
cpu,64,64,2000,8,256,0,0,91.80727,92.116444,89.23040626,88.93091878
cpu,64,64,2000,8,256,0,0,92.058328,92.409487,88.98706046,88.64890679
cpu,64,64,2000,8,256,0,0,91.816635,92.139546,89.22130505,88.90862128
cpu,64,64,2000,10,256,0,0,86.966645,87.38144,94.19703382,93.74988556
cpu,64,64,2000,10,256,0,0,79.574311,79.930942,102.9477968,102.4884706
cpu,64,64,2000,10,256,0,0,78.753553,79.040866,104.0207037,103.6425891
cpu,64,64,2000,10,256,0,0,80.033963,80.381768,102.3565458,101.9136578
cpu,64,64,2000,10,256,0,0,83.767924,84.076248,97.79399571,97.43536605
cpu,64,64,2000,12,256,0,0,76.365634,76.715477,107.2733843,106.7841891
cpu,64,64,2000,12,256,0,0,78.548496,78.877346,104.2922579,103.8574498
cpu,64,64,2000,12,256,0,0,73.247257,73.565353,111.8403656,111.3567687
cpu,64,64,2000,12,256,0,0,78.821595,79.147493,103.9309088,103.5029625
cpu,64,64,2000,12,256,0,0,74.284058,74.624807,110.2793819,109.7758283
cuda,64,64,2000,1,128,0,0,9.788831978,22.883486,836.8720618,357.987415
cuda,64,64,2000,1,128,0,0,9.25599992,21.872502,885.0475443,374.5341982
cuda,64,64,2000,1,128,0,0,8.325568148,20.643894,983.9568729,396.8243588
cuda,64,64,2000,1,128,0,0,7.822304005,19.860536,1047.261778,412.4762796
cuda,64,64,2000,1,128,0,0,7.490144083,18.931087,1093.703927,432.727397
opencl,64,64,2000,1,128,1,0,8.2912,28.996973,988.0355075,282.5122471
opencl,64,64,2000,1,128,1,0,8.357792,29.038786,980.1631819,282.1054572
opencl,64,64,2000,1,128,1,0,8.234016,28.990851,994.8972652,282.5719052
