backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cuda,1024,1024,100,1,32,0,0,8.184639961,8.939923,12811.5104,11729.13905
cuda,1024,1024,100,1,32,0,0,6.892288044,7.642079,15213.75766,13721.08297
cuda,1024,1024,100,1,32,0,0,6.873184003,7.611177,15256.04435,13776.79168
cuda,1024,1024,100,1,32,0,0,6.886784047,7.614035,15225.91667,13771.62044
cuda,1024,1024,100,1,32,0,0,6.34118399,7.077718,16535.96555,14815.17065
cuda,1024,1024,100,1,32,1,0,16.45782383,17.225961,6371.291922,6087.184338
cuda,1024,1024,100,1,32,1,0,16.44915192,17.237163,6374.650834,6083.228429
cuda,1024,1024,100,1,32,1,0,16.43619178,17.149447,6379.677324,6114.342929
cuda,1024,1024,100,1,32,1,0,16.45779182,17.191697,6371.304313,6099.316432
cuda,1024,1024,100,1,32,1,0,16.44038385,17.196842,6378.050595,6097.491621
cuda,1024,1024,100,1,64,0,0,3.537312042,4.247516,29643.29942,24686.80518
cuda,1024,1024,100,1,64,0,0,3.305343986,4.023261,31723.65734,26062.83808
cuda,1024,1024,100,1,64,0,0,3.386911992,4.131163,30959.64709,25382.10184
cuda,1024,1024,100,1,64,0,0,3.318367977,4.02349,31599.14775,26061.35469
cuda,1024,1024,100,1,64,0,0,3.333567981,4.049175,31455.06575,25896.04055
cuda,1024,1024,100,1,64,1,0,6.678847991,7.390714,15699.95307,14187.74965
cuda,1024,1024,100,1,64,1,0,6.756831989,7.563222,15518.75201,13864.14414
cuda,1024,1024,100,1,64,1,0,6.663647957,7.374106,15735.76526,14219.70338
cuda,1024,1024,100,1,64,1,0,6.671071999,7.388369,15718.25338,14192.25272
cuda,1024,1024,100,1,64,1,0,6.688703954,7.440213,15676.81882,14093.35996
cuda,1024,1024,100,1,128,0,0,3.377567992,4.122391,31045.29657,25436.1122
cuda,1024,1024,100,1,128,0,0,3.311487973,4.102765,31664.79868,25557.78847
cuda,1024,1024,100,1,128,0,0,3.402399976,4.139991,30818.71642,25327.97777
cuda,1024,1024,100,1,128,0,0,3.400096009,4.354851,30839.59975,24078.3439
cuda,1024,1024,100,1,128,0,0,3.361183986,4.093347,31196.62608,25616.592
cuda,1024,1024,100,1,128,1,0,5.845568001,6.536239,17937.96599,16042.49783
cuda,1024,1024,100,1,128,1,0,6.32710398,7.061675,16572.76383,14848.82836
cuda,1024,1024,100,1,128,1,0,6.174175989,6.934694,16983.25415,15120.72487
cuda,1024,1024,100,1,128,1,0,6.107743997,6.815128,17167.97561,15386.00596
cuda,1024,1024,100,1,128,1,0,6.129344013,6.879768,17107.47509,15241.44419
cuda,1024,1024,100,1,256,0,0,3.774304036,4.500292,27781.9696,23300.17697
cuda,1024,1024,100,1,256,0,0,3.662176024,4.498428,28632.5942,23309.83179
cuda,1024,1024,100,1,256,0,0,3.610880025,4.297342,29039.34755,24400.57133
cuda,1024,1024,100,1,256,0,0,3.605920035,4.30535,29079.29155,24355.18599
cuda,1024,1024,100,1,256,0,0,3.618464001,4.319854,28978.48368,24273.41294
cuda,1024,1024,100,1,256,1,0,6.04681601,6.757537,17340.9609,15517.13294
cuda,1024,1024,100,1,256,1,0,6.056960024,6.753425,17311.91878,15526.58096
cuda,1024,1024,100,1,256,1,0,6.067264017,6.793736,17282.51807,15434.45315
cuda,1024,1024,100,1,256,1,0,6.029536031,6.739223,17390.65816,15559.30112
cuda,1024,1024,100,1,256,1,0,6.18976004,7.006474,16940.49516,14965.8159
cuda,1024,1024,100,1,512,0,0,4.078399997,4.80097,25710.47471,21840.91965
cuda,1024,1024,100,1,512,0,0,4.175135981,4.887047,25114.77482,21456.22909
cuda,1024,1024,100,1,512,0,0,4.10246399,4.838542,25559.66372,21671.32165
cuda,1024,1024,100,1,512,0,0,4.095519971,4.790162,25603.00053,21890.19912
cuda,1024,1024,100,1,512,0,0,4.207199987,5.000348,24923.36954,20970.06048
cuda,1024,1024,100,1,512,1,0,6.701760054,7.494891,15646.27787,13990.54369
cuda,1024,1024,100,1,512,1,0,6.646464035,7.388333,15776.44887,14192.32187
cuda,1024,1024,100,1,512,1,0,6.691648036,7.461739,15669.92158,14052.70273
cuda,1024,1024,100,1,512,1,0,6.996352024,7.715247,14987.4677,13590.95827
cuda,1024,1024,100,1,512,1,0,7.100128017,7.815112,14768.40977,13417.28692
cuda,2048,2048,40,1,32,0,0,9.035712019,9.369382,18567.67454,17906.42755
cuda,2048,2048,40,1,32,0,0,8.884320006,9.237117,18884.0744,18162.82721
cuda,2048,2048,40,1,32,0,0,8.796320006,9.187325,19072.99415,18261.26321
cuda,2048,2048,40,1,32,0,0,8.851008028,9.198565,18955.1472,18238.94923
cuda,2048,2048,40,1,32,0,0,8.778783992,9.127228,19111.09331,18381.50203
cuda,2048,2048,40,1,32,1,0,25.10457581,25.473761,6682.93148,6586.077337
cuda,2048,2048,40,1,32,1,0,25.06297582,25.412595,6694.023933,6601.929476
cuda,2048,2048,40,1,32,1,0,25.06425577,25.461708,6693.682091,6589.195038
cuda,2048,2048,40,1,32,1,0,25.08275181,25.444872,6688.746166,6593.554882
cuda,2048,2048,40,1,32,1,0,25.04972804,25.399912,6697.564132,6605.226034
cuda,2048,2048,40,1,64,0,0,6.073792055,6.417474,27622.30884,26143.02138
cuda,2048,2048,40,1,64,0,0,6.474368051,6.815162,25913.2874,24617.48672
cuda,2048,2048,40,1,64,0,0,6.894240007,7.275882,24335.12031,23058.66973
cuda,2048,2048,40,1,64,0,0,5.568672001,5.9112,30127.85812,28382.08147
cuda,2048,2048,40,1,64,0,0,5.089375973,5.444704,32965.17312,30813.82569
cuda,2048,2048,40,1,64,1,0,10.64252782,10.99996,15764.31491,15252.07001
cuda,2048,2048,40,1,64,1,0,10.64454386,10.983774,15761.32921,15274.54589
cuda,2048,2048,40,1,64,1,0,10.27523214,10.602706,16327.82187,15823.52279
cuda,2048,2048,40,1,64,1,0,10.21836796,10.549129,16418.68453,15903.88742
cuda,2048,2048,40,1,64,1,0,10.2045438,10.539947,16440.92703,15917.74228
cuda,2048,2048,40,1,128,0,0,4.811840028,5.146546,34866.52903,32598.98192
cuda,2048,2048,40,1,128,0,0,4.889568001,5.266002,34312.26643,31859.49417
cuda,2048,2048,40,1,128,0,0,4.87481606,5.207488,34416.10061,32217.48375
cuda,2048,2048,40,1,128,0,0,4.82947202,5.239539,34739.23429,32020.40485
cuda,2048,2048,40,1,128,0,0,5.480928004,5.826775,30610.17402,28793.31363
cuda,2048,2048,40,1,128,1,0,10.92214394,11.297987,15360.73512,14849.73916
cuda,2048,2048,40,1,128,1,0,9.671456009,10.026431,17347.14606,16732.98904
cuda,2048,2048,40,1,128,1,0,8.975168034,9.307832,18692.9269,18024.83758
cuda,2048,2048,40,1,128,1,0,8.855583996,9.192591,18945.35246,18250.80219
cuda,2048,2048,40,1,128,1,0,8.857407987,9.212157,18941.45107,18212.03872
cuda,2048,2048,40,1,256,0,0,5.324448004,5.661375,31509.77526,29634.52518
cuda,2048,2048,40,1,256,0,0,5.299904019,5.626333,31655.6978,29819.09531
cuda,2048,2048,40,1,256,0,0,5.310335994,5.649588,31593.51126,29696.35308
cuda,2048,2048,40,1,256,0,0,5.291904002,5.628212,31703.55319,29809.1401
