backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cuda,256,256,100,1,32,0,0,1.792224,3.2272,3656.685771,2030.738721
cuda,256,256,100,1,32,1,0,2.984128019,4.1237,2196.15243,1589.25237
cuda,256,256,100,1,64,0,0,1.353120003,2.64,4843.325046,2482.424242
cuda,256,256,100,1,64,1,0,1.654848004,2.6775,3960.242865,2447.656396
cuda,256,256,100,1,128,0,0,5.126048025,8.8036,1278.489778,744.4227362
cuda,256,256,100,1,128,1,0,2.08867199,3.4768,3137.687503,1884.95168
cuda,256,256,100,1,256,0,0,1.289247999,2.6112,5083.273352,2509.803922
cuda,256,256,100,1,256,1,0,1.700383998,2.8775,3854.188234,2277.53258
opencl,256,256,100,1,32,0,0,7.335851,22.4881,893.3660185,291.4252427
opencl,256,256,100,1,32,1,0,9.856651,24.0265,664.8911481,272.7654881
opencl,256,256,100,1,64,0,0,7.368684,23.5562,889.3854045,278.2112565
opencl,256,256,100,1,64,1,0,7.801855,24.6451,840.0053577,265.9189859
opencl,256,256,100,1,128,0,0,7.39302,25.29,886.4577669,259.1379992
opencl,256,256,100,1,128,1,0,6.351101,24.059,1031.884078,272.397024
opencl,256,256,100,1,256,0,0,7.481433,25.3644,875.9819142,258.377884
opencl,256,256,100,1,256,1,0,6.469015,23.3817,1013.075406,280.2875753
cuda,512,512,100,1,32,0,0,3.921120021,4.9312,6685.436777,5316.028553
cuda,512,512,100,1,32,1,0,7.919135988,9.1228,3310.260114,2873.503749
cuda,512,512,100,1,64,0,0,5.289440013,8.9482,4955.987767,2929.572428
cuda,512,512,100,1,64,1,0,3.650944009,4.5669,7180.17037,5740.086273
cuda,512,512,100,1,128,0,0,8.148736218,10.4558,3216.989641,2507.163488
cuda,512,512,100,1,128,1,0,3.30704001,4.2652,7926.846946,6146.112726
cuda,512,512,100,1,256,0,0,2.231071986,3.2458,11749.68811,8076.406433
cuda,512,512,100,1,256,1,0,3.343424002,4.2385,7840.584977,6184.829539
opencl,512,512,100,1,32,0,0,27.320253,256.5003,959.522593,102.2002703
opencl,512,512,100,1,32,1,0,37.070468,59.5648,707.1505005,440.0988503
opencl,512,512,100,1,64,0,0,28.279671,59.4858,926.9697657,440.6833227
opencl,512,512,100,1,64,1,0,28.075575,55.6991,933.7083924,470.6431522
opencl,512,512,100,1,128,0,0,27.088251,46.3853,967.7405898,565.1445609
opencl,512,512,100,1,128,1,0,23.275447,44.2579,1126.268381,592.3100735
opencl,512,512,100,1,256,0,0,27.705829,55.0703,946.1691256,476.0170182
opencl,512,512,100,1,256,1,0,23.795533,55.8374,1101.652146,469.477447
cuda,1024,1024,100,1,32,0,0,14.91868798,18.6048,7028.607349,5636.050912
cuda,1024,1024,100,1,32,1,0,30.71142417,31.9129,3414.286469,3285.743383
cuda,1024,1024,100,1,64,0,0,6.535935961,7.5904,16043.24165,13814.50253
cuda,1024,1024,100,1,64,1,0,13.31993602,14.4315,7872.230004,7265.883657
cuda,1024,1024,100,1,128,0,0,6.525311947,7.4236,16069.36202,14124.89897
cuda,1024,1024,100,1,128,1,0,12.26688004,13.7566,8548.025227,7622.348545
cuda,1024,1024,100,1,256,0,0,7.210592002,8.2038,14542.16242,12781.58902
cuda,1024,1024,100,1,256,1,0,11.88259204,12.8002,8824.471934,8191.872002
opencl,1024,1024,100,1,32,0,0,105.936775,133.0452,989.8130276,788.1351601
opencl,1024,1024,100,1,32,1,0,143.987367,172.6937,728.2416658,607.188334
opencl,1024,1024,100,1,64,0,0,106.215532,135.8324,987.2153161,771.9630957
opencl,1024,1024,100,1,64,1,0,108.11328,146.8479,969.8864006,714.055836
opencl,1024,1024,100,1,128,0,0,107.03986,235.3689,979.6126415,445.5032079
opencl,1024,1024,100,1,128,1,0,91.515425,115.0038,1145.791543,911.7750892
opencl,1024,1024,100,1,256,0,0,108.674443,158.6622,964.8781913,660.8858317
opencl,1024,1024,100,1,256,1,0,94.308068,139.1018,1111.862455,753.8191454
cuda,2048,2048,100,1,32,0,0,44.81404784,46.1242,9359.350922,9093.499725
