backend,rows,cols,generations,threads,block,shared,wrap,kernel_ms,wall_ms,mcells_kernel,mcells_wall
cpu,256,256,100,1,256,0,0,262.8281,262.8896,24.93492895,24.92909571
cpu,256,256,100,0,256,0,0,80.8121,80.8978,81.09676645,81.01085567
cuda,256,256,100,1,64,0,0,1.329887992,2.5731,4927.933811,2546.966694
opencl,256,256,100,1,256,1,0,6.439928,20.2486,1017.651129,323.6569442
cpu,512,512,100,1,256,0,0,1064.5039,1064.6334,24.62593138,24.62293593
cpu,512,512,100,0,256,0,0,272.7422,272.8257,96.11420602,96.08478967
cuda,512,512,100,1,64,0,0,2.172800008,3.1101,12064.80113,8428.796502
opencl,512,512,100,1,256,1,0,24.231862,64.4479,1081.815339,406.753362
cpu,1024,1024,100,1,256,0,0,4465.0527,4465.2647,23.48406772,23.48295276
cpu,1024,1024,100,0,256,0,0,1706.5614,1706.7864,61.44378983,61.4356899
cuda,1024,1024,100,1,64,0,0,6.456863966,7.4122,16239.71026,14146.62313
opencl,1024,1024,100,1,256,1,0,95.411472,148.197,1099.004111,707.5554836
cpu,2048,2048,100,1,256,0,0,19393.6873,19393.9309,21.62716112,21.62688947
cpu,2048,2048,100,0,256,0,0,5759.3177,5759.5214,72.82640442,72.82382873
cuda,2048,2048,100,1,64,0,0,23.01801601,24.0083,18221.8311,17470.22488
opencl,2048,2048,100,1,256,1,0,373.258876,441.0063,1123.698395,951.0757556
cpu,4096,4096,100,1,256,0,0,76583.9751,76584.183,21.90695374,21.90689427
cpu,4096,4096,100,0,256,0,0,23062.7484,23062.9631,72.74595252,72.7452753
cuda,4096,4096,100,1,64,0,0,91.20809627,94.3444,18394.43721,17782.94843
opencl,4096,4096,100,1,256,1,0,1502.10036,1859.9297,1116.917115,902.0349533
